Entity,Year,Annual CO₂ emissions
Rwanda,2019,1372734.0
Rwanda,2020,1371813.0
Rwanda,2021,1553445.0
Rwanda,2022,1547760.0
Saint Helena,2017,10992.0
Saint Helena,2018,10992.0
Saint Helena,2019,14656.0
Saint Helena,2020,18320.0
Saint Helena,2021,17654.0
Saint Helena,2022,17816.0
Saint Kitts and Nevis,2017,241824.0
Saint Kitts and Nevis,2018,245488.0
Saint Kitts and Nevis,2019,252815.98
Saint Kitts and Nevis,2020,230832.0
Saint Kitts and Nevis,2021,222436.0
Saint Kitts and Nevis,2022,224486.0
Saint Lucia,2017,490976.0
Saint Lucia,2018,509296.0
Saint Lucia,2019,501968.03
Saint Lucia,2020,483648.0
Saint Lucia,2021,466056.0
Saint Lucia,2022,470351.0
Saint Pierre and Miquelon,2017,65952.0
Saint Pierre and Miquelon,2018,58624.0
Saint Pierre and Miquelon,2019,65952.0
Saint Pierre and Miquelon,2020,62288.0
Saint Pierre and Miquelon,2021,60022.0
Saint Pierre and Miquelon,2022,60576.0
Saint Vincent and the Grenadines,2017,216176.0
Saint Vincent and the Grenadines,2018,241824.0
Saint Vincent and the Grenadines,2019,227168.0
Saint Vincent and the Grenadines,2020,245488.0
Saint Vincent and the Grenadines,2021,236559.0
Saint Vincent and the Grenadines,2022,238739.0
Samoa,2017,245488.0
Samoa,2018,238160.0
Samoa,2019,271136.0
Samoa,2020,241824.0
Samoa,2021,252335.02
Samoa,2022,249491.0
Sao Tome and Principe,2017,139232.0
Sao Tome and Principe,2018,139232.0
Sao Tome and Principe,2019,142896.0
Sao Tome and Principe,2020,139232.0
Sao Tome and Principe,2021,145706.0
Sao Tome and Principe,2022,132255.0
Saudi Arabia,2017,680853950.0
Saudi Arabia,2018,686896300.0
Saudi Arabia,2019,707125250.0
Saudi Arabia,2020,610772900.0
Saudi Arabia,2021,631437300.0
Saudi Arabia,2022,662549400.0
Senegal,2017,10760131.0
Senegal,2018,11330392.0
Senegal,2019,12713021.0
Senegal,2020,10820952.0
Senegal,2021,11540229.0
Senegal,2022,11668435.0
Serbia,2017,45529550.0
Serbia,2018,44320356.0
Serbia,2019,44278484.0
Serbia,2020,45169760.0
Serbia,2021,43905810.0
Serbia,2022,43506644.0
Seychelles,2017,575248.0
Seychelles,2018,600896.0
Seychelles,2019,593568.0
Seychelles,2020,608224.0
Seychelles,2021,662611.0
Seychelles,2022,658828.0
Sierra Leone,2017,1088208.0
Sierra Leone,2018,1029186.94
Sierra Leone,2019,1003936.06
Sierra Leone,2020,1025920.06
Sierra Leone,2021,1109789.0
Sierra Leone,2022,1129488.0
Singapore,2017,40014544.0
Singapore,2018,50035584.0
Singapore,2019,33778416.0
Singapore,2020,54813440.0
Singapore,2021,55830696.0
Singapore,2022,53252430.0
Sint Maarten (Dutch part),2017,707152.0
Sint Maarten (Dutch part),2018,688832.0
Sint Maarten (Dutch part),2019,688832.0
Sint Maarten (Dutch part),2020,652192.0
Sint Maarten (Dutch part),2021,628469.0
Sint Maarten (Dutch part),2022,634261.0
Slovakia,2017,36114092.0
Slovakia,2018,36105530.0
Slovakia,2019,33778548.0
Slovakia,2020,31096626.0
Slovakia,2021,35166804.0
Slovakia,2022,34151680.0
Slovenia,2017,14616678.0
Slovenia,2018,14519854.0
Slovenia,2019,14039442.0
Slovenia,2020,12854907.0
Slovenia,2021,13059966.0
Slovenia,2022,12714800.0
Solomon Islands,2017,285792.0
Solomon Islands,2018,289456.0
Solomon Islands,2019,293120.0
Solomon Islands,2020,289456.0
Solomon Islands,2021,302038.0
Solomon Islands,2022,298633.0
Somalia,2017,637536.0
Somalia,2018,637536.0
Somalia,2019,637536.0
Somalia,2020,597232.0
Somalia,2021,650636.0
Somalia,2022,646921.0
South Africa,2017,439380130.0
South Africa,2018,435237200.0
South Africa,2019,465429250.0
South Africa,2020,434828640.0
South Africa,2021,425627700.0
South Africa,2022,404053980.0
South Korea,2017,654537300.0
South Korea,2018,670168700.0
South Korea,2019,646102200.0
South Korea,2020,597634300.0
South Korea,2021,616075000.0
South Korea,2022,600999360.0
South Sudan,2017,1454608.0
South Sudan,2018,1736736.0
South Sudan,2019,1780704.0
South Sudan,2020,1692768.0
South Sudan,2021,1844134.0
South Sudan,2022,1833605.0
Spain,2017,273592200.0
Spain,2018,268600500.0
Spain,2019,250660800.0
Spain,2020,213625420.0
Spain,2021,230269460.0
Spain,2022,245613820.0
Sri Lanka,2017,22872902.0
Sri Lanka,2018,20096860.0
Sri Lanka,2019,21232160.0
Sri Lanka,2020,20624664.0
Sri Lanka,2021,20118602.0
Sri Lanka,2022,17327094.0
Sudan,2017,20493030.0
Sudan,2018,21754658.0
Sudan,2019,21772508.0
Sudan,2020,20527464.0
Sudan,2021,22185106.0
Sudan,2022,22013348.0
Suriname,2017,2426406.0
Suriname,2018,2089318.0
Suriname,2019,2635797.0
Suriname,2020,2917944.0
Suriname,2021,3682585.0
Suriname,2022,3586520.0
Sweden,2017,42456588.0
Sweden,2018,42036584.0
Sweden,2019,41006040.0
Sweden,2020,36686484.0
Sweden,2021,38524788.0
Sweden,2022,38050544.0
Switzerland,2017,38172092.0
Switzerland,2018,36867250.0
Switzerland,2019,36726916.0
Switzerland,2020,34235224.0
Switzerland,2021,35787340.0
Switzerland,2022,35380164.0
Syria,2017,28443664.0
Syria,2018,32424630.0
Syria,2019,28677104.0
Syria,2020,26312742.0
Syria,2021,27217022.0
Syria,2022,27635256.0
Taiwan,2017,285247000.0
Taiwan,2018,283416000.0
Taiwan,2019,273954020.0
Taiwan,2020,271788800.0
Taiwan,2021,291201400.0
Taiwan,2022,277900930.0
Tajikistan,2017,6858048.0
Tajikistan,2018,8060483.0
Tajikistan,2019,8856778.0
Tajikistan,2020,9298944.0
Tajikistan,2021,9980379.0
Tajikistan,2022,10017384.0
Tanzania,2017,11233944.0
Tanzania,2018,11837862.0
Tanzania,2019,13743298.0
Tanzania,2020,14168675.0
Tanzania,2021,15417177.0
Tanzania,2022,15569999.0
Thailand,2017,283347620.0
Thailand,2018,288346340.0
Thailand,2019,281870340.0
Thailand,2020,271852000.0
Thailand,2021,267219020.0
Thailand,2022,270746370.0
Togo,2017,1991390.0
Togo,2018,2165189.0
Togo,2019,2414997.0
Togo,2020,2381218.0
Togo,2021,2555860.0
Togo,2022,2575560.0
Tonga,2017,135568.0
Tonga,2018,135568.0
Tonga,2019,161216.0
Tonga,2020,183200.0
Tonga,2021,191163.0
Tonga,2022,189008.0
Trinidad and Tobago,2017,40317892.0
Trinidad and Tobago,2018,40327880.0
Trinidad and Tobago,2019,40782852.0
Trinidad and Tobago,2020,35029664.0
Trinidad and Tobago,2021,35532470.0
Trinidad and Tobago,2022,34331736.0
Tunisia,2017,31271626.0
Tunisia,2018,31134054.0
Tunisia,2019,30353464.0
Tunisia,2020,28493462.0
Tunisia,2021,35244284.0
Tunisia,2022,35576780.0
Turkey,2017,430900860.0
Turkey,2018,422058620.0
Turkey,2019,402692260.0
Turkey,2020,412926880.0
Turkey,2021,452702800.0
Turkey,2022,435684600.0
Turkmenistan,2017,64359890.0
Turkmenistan,2018,63760204.0
Turkmenistan,2019,65324644.0
Turkmenistan,2020,67697480.0
Turkmenistan,2021,69974744.0
Turkmenistan,2022,70958350.0
Turks and Caicos Islands,2017,351744.0
Turks and Caicos Islands,2018,362736.0
Turks and Caicos Islands,2019,362736.0
Turks and Caicos Islands,2020,359072.0
Turks and Caicos Islands,2021,346011.0
Turks and Caicos Islands,2022,349200.0
Tuvalu,2017,10992.0
Tuvalu,2018,10992.0
Tuvalu,2019,10992.0
Tuvalu,2020,10992.0
Tuvalu,2021,11470.0
Tuvalu,2022,11340.0
Uganda,2017,5387882.0
Uganda,2018,5523001.0
Uganda,2019,5731925.0
Uganda,2020,5538408.0
Uganda,2021,6052755.0
Uganda,2022,6021782.0
Ukraine,2017,223080820.0
Ukraine,2018,231663820.0
Ukraine,2019,221943170.0
Ukraine,2020,206823860.0
Ukraine,2021,210153310.0
Ukraine,2022,141253000.0
United Arab Emirates,2017,212490380.0
United Arab Emirates,2018,209278510.0
United Arab Emirates,2019,219556580.0
United Arab Emirates,2020,216768320.0
United Arab Emirates,2021,237248980.0
United Arab Emirates,2022,243895220.0
United Kingdom,2017,387367140.0
United Kingdom,2018,379729760.0
United Kingdom,2019,364753280.0
United Kingdom,2020,326263200.0
United Kingdom,2021,347465060.0
United Kingdom,2022,318654370.0
United States,2017,5212162000.0
United States,2018,5377797000.0
United States,2019,5262145000.0
United States,2020,4714628000.0
United States,2021,5032213000.0
United States,2022,5057303600.0
Uruguay,2017,6162573.0
Uruguay,2018,6570970.0
Uruguay,2019,6489942.0
Uruguay,2020,6477168.0
Uruguay,2021,8102205.5
Uruguay,2022,7893098.0
Uzbekistan,2017,108930904.0
Uzbekistan,2018,102288104.0
Uzbekistan,2019,108429080.0
Uzbekistan,2020,109631970.0
Uzbekistan,2021,116387944.0
Uzbekistan,2022,120610190.0
Vanuatu,2017,142896.0
Vanuatu,2018,179536.0
Vanuatu,2019,164880.0
Vanuatu,2020,201520.0
Vanuatu,2021,210280.0
Vanuatu,2022,207909.0
Venezuela,2017,138226900.0
Venezuela,2018,100734470.0
Venezuela,2019,87611624.0
Venezuela,2020,61956236.0
Venezuela,2021,71613200.0
Venezuela,2022,76892000.0
Vietnam,2017,229642500.0
Vietnam,2018,257722290.0
Vietnam,2019,341788800.0
Vietnam,2020,363342660.0
Vietnam,2021,352553020.0
Vietnam,2022,343606620.0
Wallis and Futuna,2017,25648.0
Wallis and Futuna,2018,25648.0
Wallis and Futuna,2019,25648.0
Wallis and Futuna,2020,25648.0
Wallis and Futuna,2021,26763.0
Wallis and Futuna,2022,26461.0
Yemen,2017,9694605.0
Yemen,2018,11591975.0
Yemen,2019,11837194.0
Yemen,2020,10883986.0
Yemen,2021,11587916.0
Yemen,2022,11356347.0
Zambia,2017,6850203.0
Zambia,2018,7419369.0
Zambia,2019,7750827.0
Zambia,2020,8144346.0
Zambia,2021,8663157.0
Zambia,2022,8921889.0
Zimbabwe,2017,9295629.0
Zimbabwe,2018,10714598.0
Zimbabwe,2019,9775428.0
Zimbabwe,2020,7849639.0
Zimbabwe,2021,8396158.0
Zimbabwe,2022,8855981.0
