Entity,Year,Annual CO₂ emissions
Canada,2019,578587700.0
Canada,2020,522845280.0
Canada,2021,537173760.0
Canada,2022,547943900.0
Cape Verde,2017,509296.0
Cape Verde,2018,538608.0
Cape Verde,2019,560592.0
Cape Verde,2020,516623.97
Cape Verde,2021,558858.0
Cape Verde,2022,568778.0
Central African Republic,2017,216176.0
Central African Republic,2018,219840.0
Central African Republic,2019,227168.0
Central African Republic,2020,238160.0
Central African Republic,2021,249235.0
Central African Republic,2022,226226.0
Chad,2017,2344165.0
Chad,2018,2383510.0
Chad,2019,2303133.0
Chad,2020,2279219.0
Chad,2021,2466556.0
Chad,2022,2369204.0
Chile,2017,84138260.0
Chile,2018,84438870.0
Chile,2019,91977096.0
Chile,2020,80178160.0
Chile,2021,89036664.0
Chile,2022,84377720.0
China,2017,10011151000.0
China,2018,10353934000.0
China,2019,10721042000.0
China,2020,10914012000.0
China,2021,11336233000.0
China,2022,11396777000.0
Colombia,2017,92275010.0
Colombia,2018,87112040.0
Colombia,2019,94497930.0
Colombia,2020,89731320.0
Colombia,2021,95765200.0
Colombia,2022,99717870.0
Comoros,2017,267472.0
Comoros,2018,293120.0
Comoros,2019,311440.0
Comoros,2020,381056.0
Comoros,2021,415130.0
Comoros,2022,412760.0
Congo,2017,5651375.0
Congo,2018,6544945.0
Congo,2019,7290182.0
Congo,2020,7391505.0
Congo,2021,7255881.0
Congo,2022,7431930.0
Cook Islands,2017,80608.0
Cook Islands,2018,80608.0
Cook Islands,2019,84272.0
Cook Islands,2020,65952.0
Cook Islands,2021,68819.0
Cook Islands,2022,68043.0
Costa Rica,2017,8029008.0
Costa Rica,2018,8012376.0
Costa Rica,2019,7698382.0
Costa Rica,2020,6763180.0
Costa Rica,2021,7655385.0
Costa Rica,2022,7888694.0
Cote d'Ivoire,2017,12001905.0
Cote d'Ivoire,2018,10352434.0
Cote d'Ivoire,2019,10535081.0
Cote d'Ivoire,2020,11018607.0
Cote d'Ivoire,2021,11729395.0
Cote d'Ivoire,2022,11734159.0
Croatia,2017,18743996.0
Croatia,2018,17724152.0
Croatia,2019,17857446.0
Croatia,2020,16870528.0
Croatia,2021,17410628.0
Croatia,2022,17526086.0
Cuba,2017,24947550.0
Cuba,2018,23133148.0
Cuba,2019,22618818.0
Cuba,2020,21277102.0
Cuba,2021,20940420.0
Cuba,2022,20921022.0
Curacao,2017,4964720.0
Curacao,2018,4312528.0
Curacao,2019,2242368.0
Curacao,2020,1806352.0
Curacao,2021,1740648.0
Curacao,2022,1756690.0
Cyprus,2017,7503812.0
Cyprus,2018,7321720.0
Cyprus,2019,7342336.0
Cyprus,2020,6910908.0
Cyprus,2021,7029358.0
Cyprus,2022,7029358.0
Czechia,2017,107776580.0
Czechia,2018,106358380.0
Czechia,2019,101032690.0
Czechia,2020,91697370.0
Czechia,2021,96665224.0
Czechia,2022,97969300.0
Democratic Republic of Congo,2017,3102465.0
Democratic Republic of Congo,2018,3375097.0
Democratic Republic of Congo,2019,3592173.0
Democratic Republic of Congo,2020,3709719.0
Democratic Republic of Congo,2021,3940681.0
Democratic Republic of Congo,2022,3601595.0
Denmark,2017,34664620.0
Denmark,2018,34608956.0
Denmark,2019,30950284.0
Denmark,2020,28299676.0
Denmark,2021,29608300.0
Denmark,2022,29059308.0
Djibouti,2017,391759.0
Djibouti,2018,434878.0
Djibouti,2019,448617.0
Djibouti,2020,382454.0
Djibouti,2021,454836.0
Djibouti,2022,453036.0
Dominica,2017,153888.0
Dominica,2018,161216.0
Dominica,2019,172208.0
Dominica,2020,157552.0
Dominica,2021,151821.0
Dominica,2022,153220.0
Dominican Republic,2017,24016922.0
Dominican Republic,2018,25756240.0
Dominican Republic,2019,28374692.0
Dominican Republic,2020,23501650.0
Dominican Republic,2021,23784850.0
Dominican Republic,2022,23637946.0
East Timor,2017,689670.0
East Timor,2018,617024.0
East Timor,2019,675431.0
East Timor,2020,646494.0
East Timor,2021,663697.0
East Timor,2022,668892.0
Ecuador,2017,39174204.0
Ecuador,2018,38429116.0
Ecuador,2019,40065172.0
Ecuador,2020,32909420.0
Ecuador,2021,39731668.0
Ecuador,2022,41613410.0
Egypt,2017,260110600.0
Egypt,2018,243907890.0
Egypt,2019,256140160.0
Egypt,2020,227637950.0
Egypt,2021,246884400.0
Egypt,2022,258951660.0
El Salvador,2017,5969700.0
El Salvador,2018,6262603.0
El Salvador,2019,7549650.0
El Salvador,2020,6594499.0
El Salvador,2021,7487630.0
El Salvador,2022,7714380.0
Equatorial Guinea,2017,7862125.0
Equatorial Guinea,2018,6008448.0
Equatorial Guinea,2019,4637975.0
Equatorial Guinea,2020,5524802.0
Equatorial Guinea,2021,5629140.0
Equatorial Guinea,2022,5076202.0
Eritrea,2017,557061.0
Eritrea,2018,623013.0
Eritrea,2019,648089.0
Eritrea,2020,640911.0
Eritrea,2021,700427.0
Eritrea,2022,696826.0
Estonia,2017,18738382.0
Estonia,2018,17884834.0
Estonia,2019,12323983.0
Estonia,2020,9238881.0
Estonia,2021,10419918.0
Estonia,2022,10311845.0
Eswatini,2017,985616.0
Eswatini,2018,1033247.94
Eswatini,2019,1121184.0
Eswatini,2020,1091872.0
Eswatini,2021,1131434.0
Eswatini,2022,1265046.0
Ethiopia,2017,15583688.0
Ethiopia,2018,15988957.0
Ethiopia,2019,16674992.0
Ethiopia,2020,17810122.0
Ethiopia,2021,18919488.0
Ethiopia,2022,19073260.0
